operation		mean (s)		sd (s)		runs
gen init tx		0.0000722836		0.0001031292	10000
check init tx		0.0000142920		0.0000067701	10000
gen create_sensor tx	0.0001390091		0.0000390743	10000
check create_sensor tx	0.0000205739		0.0000076714	10000
gen add_data tx		0.0001054692		0.0000850573	10000
check add_data tx	0.0000359809		0.0000151992	10000
operation		mean (s)		sd (s)		runs
gen init tx		0.0000760174		0.0001523860	10000
check init tx		0.0000146411		0.0000088304	10000
gen create_account tx	0.0048451348		0.0006826253	10000
check create_account tx	0.0000218423		0.0000052132	10000
gen auth_transfer tx	0.0049858852		0.0006839070	10000
check auth_transfer tx	0.0057504512		0.0004735590	10000
operation		mean (s)		sd (s)		runs
gen init tx		0.0000730663		0.0001051050	10000
check init tx		0.0000127510		0.0000040306	10000
gen create_meter tx	0.0047857797		0.0004803211	10000
check create_meter tx	0.0000259734		0.0000030128	10000
gen add_reading tx	0.0052856125		0.0005062761	10000
check add_reading tx	0.0059651081		0.0006972387	10000
gen compute_bill tx	0.0050428732		0.0005130876	10000
check compute_bill tx	0.0058697244		0.0006029637	10000
operation		mean (s)		sd (s)		runs
gen init tx		0.0000780144		0.0000315180	1000
check init tx		0.0000122452		0.0000013731	1000
gen create_vote tx	0.0117330780		0.0010281496	1000
check create_vote tx	0.0113272903		0.0007823742	1000
gen add_vote tx		0.0140861027		0.0010429624	1000
check add_vote tx	0.0281778183		0.0014326099	1000
gen tally tx		0.2532864935		0.0077929920	1000
check tally tx		0.0115892541		0.0009367907	1000
